avgDelay,avgThroughput,avgJitter
1.875818,0.061307,0.123073
1.180763,0.018894,0.095259
1.151020,0.018935,0.061453
1.138556,0.020010,0.084394
1.123021,0.020547,0.100056
1.119118,0.020699,0.083837
1.130851,0.020012,0.102591
1.125365,0.020286,0.089282
1.137230,0.020111,0.100086
1.126792,0.020262,0.097740
1.122886,0.020110,0.097686
1.126123,0.020527,0.106001
1.125698,0.020566,0.107469
1.120418,0.021728,0.099849
1.113430,0.020383,0.090210
1.161181,0.020413,0.095191
1.190567,0.020092,0.118521
1.141932,0.020250,0.093925
1.128465,0.019154,0.091660
1.124475,0.019424,0.085974
1.120071,0.019548,0.091614
1.131327,0.020151,0.104038
1.128391,0.019723,0.081239
1.122742,0.020505,0.094522
1.133945,0.019260,0.097509
1.163185,0.019138,0.072862
1.160614,0.018988,0.076791
1.164687,0.019302,0.073164
1.166253,0.019055,0.075731
1.164513,0.019029,0.079841
1.179111,0.020319,0.098070
1.171839,0.020467,0.092952
1.168571,0.020283,0.089786
1.172636,0.020189,0.103925
1.161858,0.019764,0.076114
1.188479,0.020039,0.121974
1.176204,0.020491,0.104731
1.168602,0.019888,0.096024
1.168472,0.019782,0.090516
1.180174,0.019867,0.098658
1.169139,0.019741,0.083264
1.180918,0.018921,0.088788
1.174991,0.019666,0.088844
1.179703,0.019596,0.098519
1.169416,0.020410,0.095173
1.163027,0.020169,0.089023
1.179138,0.019901,0.088786
1.173922,0.018785,0.095785
1.175262,0.020224,0.093475
1.183799,0.019783,0.093204
1.197227,0.019982,0.090889
1.176327,0.019381,0.088406
1.157658,0.019361,0.076858
1.162908,0.019319,0.086139
1.155529,0.019956,0.081041
1.163334,0.018411,0.084656
1.253895,0.020317,0.098379
1.126550,0.019420,0.096143
1.128716,0.020246,0.100483
1.121847,0.011628,0.072205
