avgDelay,avgThroughput,avgJitter
1.367742,0.057098,0.150879
1.352505,0.056696,0.139366
1.344869,0.054813,0.135381
1.361559,0.054631,0.146061
1.347601,0.054714,0.138615
1.357257,0.054893,0.131242
1.343921,0.054314,0.133752
1.339186,0.054770,0.136841
1.364233,0.053597,0.148643
1.348899,0.056029,0.138893
1.351981,0.054297,0.140305
1.347824,0.052930,0.136651
1.359787,0.055218,0.156233
1.352938,0.054421,0.141835
1.330024,0.054642,0.117248
1.356284,0.055287,0.150501
1.370543,0.053785,0.154376
1.351361,0.055891,0.141420
1.355307,0.053975,0.148139
1.341773,0.053511,0.135208
1.346786,0.053056,0.144646
1.361440,0.055151,0.154470
1.363078,0.055129,0.150532
1.351035,0.054455,0.146829
1.360454,0.054362,0.155268
1.345001,0.054579,0.135253
1.355364,0.054740,0.139736
1.344332,0.053846,0.131194
1.354912,0.055744,0.147601
1.339336,0.054203,0.126764
1.349747,0.055972,0.146726
1.332255,0.053880,0.122669
1.369681,0.054668,0.143718
1.349196,0.054352,0.133113
1.338709,0.054490,0.124711
1.361538,0.054591,0.136279
1.347840,0.053825,0.125935
1.354052,0.052140,0.135288
1.358772,0.053400,0.151259
1.385699,0.056157,0.152055
1.351946,0.054599,0.143266
1.341994,0.055078,0.134814
1.347151,0.054435,0.140651
1.345017,0.054286,0.131008
1.343396,0.055444,0.129456
1.348875,0.054253,0.130442
1.348281,0.054552,0.131400
1.355191,0.055803,0.150053
1.348209,0.054845,0.135235
1.345088,0.054460,0.143460
1.345104,0.053884,0.136430
1.346658,0.054871,0.143527
1.352403,0.055383,0.133623
1.349809,0.056042,0.136208
1.357322,0.054917,0.139502
1.375711,0.054524,0.154827
1.362974,0.054906,0.140047
1.342744,0.054265,0.129627
1.369499,0.053844,0.152223
1.339928,0.032396,0.139372
