avgDelay,avgThroughput,avgJitter
15.103618,6.038848,0.686144
16.239047,5.886021,0.793940
16.289692,5.852636,0.796782
16.289613,5.839023,0.797893
16.231697,5.868518,0.789230
16.261761,5.856363,0.796692
15.986430,5.922810,0.740323
15.720313,5.969322,0.742819
16.270662,5.846315,0.799916
16.260590,5.859929,0.791339
16.234981,5.876783,0.800465
16.234994,5.863980,0.801689
16.271366,5.843884,0.795828
16.278294,5.859443,0.795952
15.940090,5.921999,0.752800
15.275722,6.059106,0.704686
15.014002,6.124904,0.649702
15.884540,5.935775,0.749228
16.316685,5.831244,0.800037
16.297682,5.849881,0.799783
16.285276,5.858308,0.792620
15.336724,6.033662,0.709988
16.325363,5.829785,0.804203
16.262963,5.871597,0.793602
16.255613,5.868680,0.792698
16.248280,5.873704,0.792555
16.289293,5.852960,0.796604
15.549966,6.014700,0.707146
16.258565,5.850529,0.792770
16.311582,5.834647,0.801583
16.274285,5.851339,0.797035
16.239909,5.872894,0.792066
16.208521,5.881807,0.787467
15.877184,5.956681,0.734669
16.259791,5.851501,0.802027
16.338310,5.820709,0.801315
16.271444,5.844209,0.796859
16.251830,5.862846,0.792575
16.288755,5.857822,0.795366
16.282512,5.847126,0.790785
16.291797,5.850853,0.793482
16.253930,5.872732,0.789364
16.294869,5.846153,0.802600
16.257809,5.875163,0.793116
16.321482,5.846963,0.799377
16.315122,5.836592,0.798581
16.170319,5.872570,0.777252
16.294177,5.845019,0.797366
16.258855,5.863656,0.792540
16.246986,5.856039,0.794883
16.206830,5.879539,0.794689
16.261002,5.855553,0.795877
16.267228,5.850853,0.792875
16.264297,5.849881,0.796510
15.968659,5.936748,0.747747
16.209595,5.872408,0.792044
15.862761,5.920217,0.758856
14.894980,6.154238,0.637233
16.153444,5.889424,0.782340
16.267355,3.584543,0.795832
