avgDelay,avgThroughput,avgJitter
1.447034,0.059043,0.181653
1.409054,0.056278,0.151706
1.406366,0.057171,0.156621
1.407748,0.056641,0.159271
1.407941,0.055020,0.148102
1.400604,0.055998,0.142002
1.408911,0.056416,0.152075
1.408827,0.055739,0.156094
1.421304,0.056414,0.165586
1.403227,0.056551,0.147912
1.407816,0.057500,0.154727
1.406177,0.055387,0.149161
1.410130,0.056763,0.155876
1.409694,0.057530,0.161960
1.410295,0.056338,0.155945
1.411664,0.056801,0.160002
1.412199,0.056923,0.159997
1.404132,0.056499,0.148015
1.411961,0.055992,0.157604
1.407341,0.056976,0.149050
1.399269,0.055957,0.144752
1.400352,0.055765,0.147666
1.412204,0.056458,0.154866
1.408332,0.056510,0.162889
1.407959,0.057309,0.152389
1.411070,0.055541,0.161765
1.416983,0.056123,0.155227
1.405190,0.056617,0.151334
1.396997,0.056380,0.145358
1.390803,0.056051,0.148963
1.412166,0.056364,0.151286
1.402760,0.056419,0.149963
1.406568,0.055953,0.137377
1.405251,0.056690,0.146484
1.395290,0.056012,0.145784
1.408865,0.055868,0.157520
1.402268,0.056599,0.147937
1.397808,0.055887,0.138105
1.407603,0.057184,0.152058
1.398064,0.055854,0.152950
1.413235,0.056890,0.157195
1.411265,0.056592,0.153240
1.416226,0.056732,0.171059
1.398650,0.057021,0.141487
1.399235,0.055608,0.145760
1.410112,0.056507,0.150065
1.402729,0.055965,0.151952
1.395991,0.056927,0.138167
1.403403,0.054510,0.143411
1.410989,0.057317,0.153226
1.418429,0.057029,0.168011
1.403527,0.057393,0.150786
1.417135,0.055772,0.161399
1.412616,0.056418,0.155315
1.401157,0.056573,0.147870
1.421190,0.056439,0.148850
1.411356,0.056065,0.156680
1.416570,0.056604,0.157448
1.412862,0.056171,0.157952
1.405876,0.034089,0.162685
