avgDelay,avgThroughput,avgJitter
1.504495,0.059077,0.108790
1.118453,0.019938,0.102210
1.082512,0.019381,0.067821
1.085693,0.019964,0.092296
1.165855,0.019646,0.095667
1.191853,0.019257,0.107273
1.177290,0.019647,0.099675
1.168736,0.019550,0.084204
1.172898,0.019744,0.104243
1.188862,0.019726,0.111566
1.167542,0.019871,0.091307
1.166300,0.020965,0.082622
1.177445,0.021496,0.107162
1.165898,0.020056,0.096037
1.174510,0.018947,0.079294
1.167844,0.019586,0.082198
1.184419,0.017996,0.074522
1.170801,0.018886,0.071250
1.171761,0.018914,0.077009
1.162018,0.019388,0.073959
1.175282,0.019407,0.081668
1.333127,0.022643,0.081115
1.188593,0.020188,0.100082
1.175629,0.019710,0.093240
1.164566,0.019320,0.079953
1.176758,0.017246,0.094277
1.165004,0.017630,0.071047
1.172622,0.019426,0.086917
1.162695,0.019280,0.064232
1.180450,0.019412,0.097985
1.167840,0.018684,0.081398
1.163003,0.018128,0.076412
1.162162,0.018612,0.060724
1.162633,0.018119,0.072281
1.178094,0.018912,0.083501
1.184126,0.021543,0.105694
1.181657,0.020441,0.118900
1.162439,0.018803,0.069468
1.187240,0.018951,0.106867
1.178431,0.019114,0.083936
1.174882,0.019568,0.072242
1.176931,0.018445,0.078027
1.190075,0.018591,0.085083
1.164566,0.019140,0.076087
1.160879,0.018672,0.087810
1.174724,0.018950,0.099006
1.154217,0.017801,0.079114
1.168129,0.017754,0.076155
1.174129,0.017356,0.066114
1.189942,0.019098,0.087965
1.182157,0.019996,0.100248
1.190230,0.019779,0.105471
1.166635,0.019162,0.092414
1.154840,0.019505,0.077752
1.171056,0.018525,0.102415
1.162342,0.017920,0.069618
1.165375,0.019076,0.109468
1.159228,0.019649,0.089206
1.176421,0.019412,0.112788
1.178646,0.011707,0.091285
