avgDelay,avgThroughput,avgJitter
1.698315,0.027380,0.049168
1.731255,0.027285,0.038338
1.732265,0.027214,0.026446
1.792293,0.027142,0.037082
1.848017,0.027317,0.017633
1.863915,0.027436,0.023039
1.868008,0.027110,0.026908
1.866670,0.027248,0.029777
1.873166,0.026967,0.038192
1.868988,0.027204,0.029439
1.908276,0.027283,0.032612
1.911129,0.027268,0.024553
1.909505,0.026972,0.024466
1.911840,0.026879,0.027716
1.916488,0.027118,0.034922
1.909755,0.027169,0.024308
1.910208,0.027413,0.025931
1.919550,0.027001,0.039491
1.897263,0.026938,0.018386
1.867412,0.027444,0.030005
1.866693,0.026877,0.030868
1.867466,0.027095,0.028973
1.915037,0.027496,0.045159
1.917665,0.027417,0.036083
1.911274,0.027120,0.027293
1.910771,0.027434,0.024334
1.876766,0.026782,0.037035
1.865909,0.027324,0.028754
1.874816,0.027057,0.040094
1.866898,0.027047,0.031753
1.865098,0.027503,0.022425
1.854735,0.027198,0.034021
1.821250,0.027533,0.032934
1.821507,0.027145,0.033484
1.863792,0.026818,0.024753
1.877234,0.026735,0.050757
1.874496,0.027021,0.037805
1.868330,0.027136,0.034348
1.868663,0.027132,0.033235
1.903420,0.027300,0.025752
1.908065,0.027091,0.020608
1.913429,0.027473,0.028853
1.854156,0.027387,0.035000
1.862248,0.027225,0.021852
1.871061,0.027143,0.040705
1.867220,0.027388,0.029607
1.864286,0.027276,0.022364
1.861514,0.027517,0.020970
1.868790,0.027339,0.026759
1.861463,0.027344,0.019456
1.872722,0.027646,0.036801
1.873058,0.027169,0.032171
1.867048,0.026783,0.030094
1.864432,0.027293,0.025970
1.871423,0.027551,0.034152
1.865463,0.027482,0.024870
1.861652,0.027531,0.020933
1.858554,0.026911,0.014803
1.865171,0.027430,0.029267
1.874949,0.016395,0.041051
