avgDelay,avgThroughput,avgJitter
1.732088,0.026206,0.022627
1.784493,0.026124,0.056817
1.750416,0.026906,0.006088
1.763069,0.026363,0.017750
1.890525,0.026530,0.026066
1.861456,0.026136,0.038828
1.852937,0.026569,0.031033
1.841366,0.026670,0.007585
1.850279,0.026359,0.025035
1.862015,0.026160,0.048016
1.848946,0.026841,0.022578
1.854197,0.025694,0.031954
1.848849,0.026347,0.022524
1.840561,0.026351,0.006202
1.850174,0.025857,0.015303
1.849832,0.026119,0.022700
1.848879,0.026517,0.013742
1.844909,0.027190,0.014057
1.844481,0.026828,0.013294
1.846395,0.026009,0.016583
1.850196,0.026636,0.024492
1.848669,0.026276,0.023127
1.865818,0.026286,0.039728
1.862885,0.026683,0.040535
1.848969,0.026202,0.017245
1.850114,0.026537,0.023625
1.846173,0.026071,0.017264
1.845557,0.026869,0.015601
1.845312,0.026534,0.014632
1.853032,0.025657,0.030128
1.850645,0.026251,0.025133
1.849421,0.026433,0.023343
1.846137,0.026276,0.016663
1.854540,0.026991,0.033378
1.845487,0.025277,0.011110
1.854179,0.026467,0.032919
1.858035,0.026375,0.035700
1.844825,0.027302,0.014196
1.858080,0.026539,0.030872
1.845467,0.026435,0.015405
1.845972,0.026826,0.016596
1.857872,0.026340,0.036415
1.857035,0.026470,0.021723
1.850750,0.026315,0.025799
1.844751,0.026441,0.014105
1.858019,0.027185,0.036026
1.856986,0.025934,0.034922
1.857743,0.026863,0.030442
1.844429,0.026176,0.014685
1.858238,0.026400,0.035524
1.849220,0.026432,0.022361
1.853966,0.026148,0.031157
1.848418,0.026955,0.022157
1.847154,0.026572,0.017287
1.867314,0.026065,0.054482
1.849717,0.026103,0.022962
1.853480,0.025828,0.031657
1.845573,0.026755,0.015371
1.863663,0.026046,0.046907
1.862192,0.015823,0.033754
