1400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.027936	1.671427	0.000000	0.028080	1.674828	0.005102	0.028288	1.673128	0.003401	0.031672	1.671427	0.000000	0.026712	1.678570	0.014286	0.031104	1.671427	0.000000	0.027232	1.671427	0.000000	0.029080	1.681631	0.013605	0.029192	1.676529	0.008503	0.029184	1.673213	0.003571	0.027888	1.671427	0.000000	0.026856	4.267853	0.153571	0.029496	1.671427	0.000000	0.026944	1.674828	0.006803	0.027112	1.823212	0.296428	0.028528	1.671427	0.000000	0.028680	1.675186	0.007519	0.024808	1.673307	0.003759	0.024824	1.678570	0.012500	0.031904	1.674533	0.006211	0.027696	1.671427	0.000000	0.026864	1.674828	0.006803	0.026952	1.671427	0.000000	0.027856	1.678570	0.010714	0.030856	1.678230	0.010204	0.024848	1.674998	0.003571	0.029328	1.671427	0.000000	0.025496	1.673213	0.003571	0.024128	4.132139	0.146428	0.029040	1.675186	0.007519	1.732088	0.0262060.022627
2400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.025920	1.671427	0.000000	0.028080	1.676529	0.008503	0.028144	1.676529	0.010204	0.028336	1.676297	0.006493	0.026928	1.676297	0.006493	0.031208	1.676085	0.007764	0.026560	1.673213	0.003571	0.028872	1.674828	0.006803	0.025800	1.674998	0.007143	0.025736	1.674828	0.003401	0.026744	1.671427	0.000000	0.028992	4.561034	0.006493	0.028896	1.671427	0.000000	0.025360	1.674674	0.006493	0.030616	2.327270	0.792207	0.026184	1.674998	0.007143	0.027464	2.110202	0.877550	0.028840	1.673128	0.001701	0.028480	1.673050	0.003247	0.028936	1.671427	0.000000	0.030536	1.671427	0.000000	0.025968	1.681631	0.013605	0.025896	1.673128	0.003401	0.029360	1.673050	0.003247	0.026448	1.679930	0.010204	0.029336	1.682791	0.014610	0.025720	1.676784	0.007143	0.026880	1.673213	0.003571	0.029784	4.560710	0.007143	0.029952	1.671427	0.000000	1.784493	0.0261240.056817
3400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.029248	1.674828	0.006803	0.029256	1.674828	0.006803	0.028904	1.673128	0.003401	0.025624	1.674828	0.006803	0.031104	1.674828	0.006803	0.026216	1.674998	0.005357	0.029104	1.673050	0.003247	0.026568	1.680356	0.014286	0.029136	1.674828	0.006803	0.028928	1.673050	0.003247	0.029976	1.674828	0.006803	0.027416	4.559179	0.010204	0.027552	1.671427	0.000000	0.030384	1.671427	0.000000	0.030576	1.681631	0.013605	0.028024	1.673128	0.003401	0.030816	1.678570	0.012500	0.026728	1.671427	0.000000	0.026728	1.671427	0.000000	0.028440	1.674828	0.006803	0.031528	1.671427	0.000000	0.028224	1.681631	0.020408	0.028152	1.673213	0.003571	0.026208	1.675186	0.005639	0.029400	1.676529	0.006803	0.026632	1.674828	0.006803	0.030504	1.672980	0.003106	0.030472	1.681631	0.013605	0.030464	4.556164	0.014610	0.028680	1.673128	0.003401	1.750416	0.0269060.006088
4400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.027960	1.671427	0.000000	0.028912	1.678230	0.008503	0.029224	1.673050	0.003247	0.024592	1.674828	0.006803	0.026688	1.674998	0.007143	0.029464	1.673050	0.003247	0.026896	1.673213	0.003571	0.029872	1.674674	0.006493	0.028624	1.673213	0.003571	0.030320	1.671427	0.000000	0.029712	1.674674	0.006493	0.028328	4.559411	0.008117	0.028384	1.671427	0.000000	0.023160	1.675186	0.007519	0.026576	1.822787	0.297619	0.027224	1.671427	0.000000	0.031136	1.676529	0.010204	0.027232	1.676529	0.010204	0.029600	1.673128	0.003401	0.029496	1.673128	0.001701	0.027328	1.671427	0.000000	0.026856	1.678946	0.011278	0.028480	1.673128	0.003401	0.025224	1.680356	0.010714	0.028136	1.946937	0.137755	0.031800	1.673128	0.003401	0.025656	1.673128	0.003401	0.029592	1.674828	0.006803	0.025744	4.562580	0.003401	0.031400	1.671427	0.000000	1.763069	0.0263630.017750
5400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.025912	4.008159	0.147959	0.028448	1.679544	0.012987	0.027056	1.697401	0.048701	0.031544	1.677920	0.008117	0.029440	1.679930	0.013605	0.031000	1.674828	0.006803	0.029608	1.674828	0.006803	0.028984	1.676529	0.010204	0.025416	1.671427	0.000000	0.027344	1.676784	0.010714	0.024464	1.674998	0.007143	0.030456	3.635711	0.147727	0.024992	1.671427	0.000000	0.026200	1.674828	0.006803	0.029152	1.678570	0.014286	0.030856	1.671427	0.000000	0.027488	1.817855	0.289285	0.028616	1.671427	0.000000	0.028712	1.673128	0.003401	0.028688	1.671427	0.000000	0.025008	1.671427	0.000000	0.028128	1.674828	0.006803	0.031600	1.671427	0.000000	0.025760	1.676529	0.006803	0.029200	4.584689	0.052721	0.030392	1.677920	0.012987	0.026392	1.673213	0.003571	0.030056	1.676297	0.006493	0.026888	4.557478	0.005102	0.031152	1.674828	0.005102	1.890525	0.0265300.026066
6400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.027968	4.562580	0.003401	0.025256	1.673213	0.003571	0.028712	1.677638	0.012422	0.025032	1.673213	0.001786	0.027128	1.676784	0.010714	0.028104	1.678230	0.013605	0.029400	1.671427	0.000000	0.029304	1.673128	0.003401	0.027776	1.674998	0.007143	0.026040	1.673213	0.003571	0.028912	1.673050	0.003247	0.030920	1.671427	0.000000	0.027024	1.671427	0.000000	0.023880	1.680825	0.015037	0.031456	2.205517	0.805194	0.028152	1.671427	0.000000	0.029928	1.809182	0.275510	0.029608	1.673050	0.003247	0.025992	1.673213	0.003571	0.029472	1.678570	0.014286	0.025944	1.671427	0.000000	0.026224	1.682141	0.017857	0.027424	1.671427	0.000000	0.030160	1.674674	0.006493	0.028816	4.562495	0.003571	0.026920	1.680356	0.017857	0.026328	1.671427	0.000000	0.027544	1.676529	0.008503	0.029256	4.560880	0.006803	0.027664	1.673128	0.001701	1.861456	0.0261360.038828
7400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.027272	4.559179	0.008503	0.028128	1.673213	0.003571	0.026408	1.673213	0.003571	0.026704	1.673213	0.003571	0.025928	1.676529	0.008503	0.028560	1.676529	0.010204	0.030568	1.674674	0.006493	0.027728	1.679930	0.017007	0.024264	1.673213	0.003571	0.028792	1.676297	0.009740	0.030264	1.676529	0.010204	0.028424	1.671427	0.000000	0.025760	1.671427	0.000000	0.028192	1.674828	0.005102	0.029560	2.088093	0.828230	0.028912	1.671427	0.000000	0.029728	1.671427	0.000000	0.027776	1.673050	0.003247	0.028000	1.676529	0.010204	0.028576	1.676529	0.010204	0.028096	1.671427	0.000000	0.029608	1.677920	0.012987	0.031008	1.671427	0.000000	0.025736	1.674998	0.007143	0.028056	4.562580	0.003401	0.028368	1.673050	0.003247	0.030856	1.671427	0.000000	0.028744	1.674674	0.006493	0.030712	4.556164	0.014610	0.029472	1.673050	0.003247	1.852937	0.0265690.031033
8400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.028712	4.559179	0.010204	0.026312	1.673050	0.003247	0.033208	1.674674	0.006493	0.028048	1.673213	0.001786	0.028056	1.679930	0.013605	0.030824	1.674828	0.006803	0.032232	1.676297	0.006493	0.029600	1.676297	0.009740	0.025312	1.674998	0.007143	0.025616	1.674998	0.003571	0.025720	1.674998	0.005357	0.028672	1.671427	0.000000	0.029648	1.671427	0.000000	0.029424	1.679544	0.012987	0.028088	1.679930	0.017007	0.025896	1.673128	0.003401	0.029624	1.676297	0.006493	0.028536	1.671427	0.000000	0.029472	1.674674	0.006493	0.025536	1.674998	0.007143	0.029088	1.671427	0.000000	0.029400	1.680356	0.014286	0.025304	1.673128	0.003401	0.028256	1.674828	0.006803	0.027176	4.581288	0.057823	0.028808	1.678570	0.012500	0.029560	1.673128	0.003401	0.028296	1.674828	0.006803	0.029360	4.559411	0.009740	0.029648	1.671427	0.000000	1.841366	0.0266700.007585
9400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.029048	4.562658	0.003247	0.027448	1.676297	0.009740	0.027120	1.674998	0.007143	0.026288	1.673128	0.003401	0.032448	1.676297	0.004870	0.029512	1.679930	0.013605	0.027728	1.671427	0.000000	0.027928	1.681631	0.011905	0.025144	1.674828	0.006803	0.029368	1.674674	0.006493	0.029088	1.673050	0.003247	0.027720	1.671427	0.000000	0.031504	1.671427	0.000000	0.028184	1.674828	0.005102	0.029544	1.964284	0.582142	0.027400	1.671427	0.000000	0.024680	1.673213	0.003571	0.028208	1.673128	0.003401	0.027368	1.673128	0.003401	0.029160	1.671427	0.000000	0.025680	1.671427	0.000000	0.025776	1.685032	0.023809	0.024856	1.671427	0.000000	0.027272	1.683927	0.010714	0.029216	4.582138	0.062500	0.027456	1.677920	0.012987	0.030688	1.673128	0.003401	0.029032	1.673128	0.003401	0.031648	4.556164	0.016234	0.026968	1.671427	0.000000	1.850279	0.0263590.025035
10400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.024872	4.560710	0.007143	0.027856	1.674828	0.005102	0.026616	1.674828	0.006803	0.026936	1.673213	0.003571	0.028072	1.671427	0.000000	0.025920	1.674998	0.007143	0.026736	1.678230	0.010204	0.028304	1.676529	0.010204	0.028256	1.673128	0.003401	0.025624	1.676784	0.008929	0.028112	1.674828	0.006803	0.027952	1.671427	0.000000	0.025056	1.671427	0.000000	0.028464	1.676529	0.010204	0.029344	2.199024	1.053570	0.029944	1.671427	0.000000	0.026440	1.817855	0.291071	0.032096	1.673050	0.003247	0.028144	1.677066	0.011278	0.028144	1.674828	0.005102	0.028592	1.671427	0.000000	0.025368	1.674674	0.006493	0.026240	1.671427	0.000000	0.030784	1.677920	0.008117	0.028936	4.585710	0.032143	0.026720	1.680825	0.016917	0.029256	1.674828	0.006803	0.028024	1.676529	0.006803	0.030808	4.555778	0.011905	0.029520	1.673213	0.003571	1.862015	0.0261600.048016
