1400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002408	2.166323	0.066327	0.002408	1.987751	0.030612	0.009536	1.551990	0.212930	0.002408	2.048976	0.045919	0.002408	2.105099	0.045919	0.017752	1.491332	0.243808	0.003152	1.865952	0.091189	0.014832	1.499842	0.227396	0.002408	1.793875	0.005102	0.002408	1.758161	0.005102	0.002408	1.722447	0.005102	0.005872	1.506908	0.135786	0.002408	1.671427	0.000000	0.002408	2.130609	0.066327	0.002408	2.094895	0.066327	0.007704	1.638348	0.215237	0.017752	1.534623	0.414804	0.002408	1.997956	0.061225	0.006072	1.696332	0.179742	0.014832	1.568719	0.238876	0.003152	2.133808	0.117974	0.002408	1.972445	0.030612	0.014832	1.516423	0.229947	0.002408	2.033670	0.045919	0.006072	1.650124	0.175419	0.002408	2.099996	0.040817	0.002408	1.957141	0.056123	0.002408	1.798977	0.015306	0.014832	1.469229	0.226121	0.002408	1.747957	0.010204	0.011912	1.491330	0.205402	0.011912	1.579839	0.410370	0.003152	4.173986	0.390295	0.002408	2.191833	0.066327	0.002408	2.156119	0.066327	0.011912	1.617106	0.228694	0.002408	1.890813	0.015306	0.002408	2.084691	0.066327	0.005872	1.718311	0.176995	0.008992	1.620263	0.206902	0.002408	2.278569	0.035714	0.002408	2.099997	0.051021	0.011912	1.558100	0.244222	0.014832	1.561066	0.290084	0.014832	1.799586	0.659982	0.010624	1.484855	0.219862	0.002408	1.941834	0.045919	0.002408	1.824487	0.005102	0.017752	2.051938	1.062912	0.002408	1.778569	0.000000	0.002408	1.742855	0.000000	0.003152	1.673988	0.033153	0.002408	1.671427	0.000000	0.002408	2.222446	0.045919	0.002408	2.166323	0.045919	0.008992	1.626215	0.212854	0.002408	1.952037	0.015306	0.002408	2.084691	0.045919	0.002408	2.048977	0.045919	0.002408	1.977548	0.045919	1.810986	0.0057110.132981
2400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.009736	1.515135	0.214809	0.002064	1.957139	0.017857	0.002408	1.315542	0.158163	0.002064	1.992853	0.017857	0.002064	2.028567	0.017857	0.021216	1.443625	0.261769	0.017552	1.714987	0.234228	0.020672	1.448922	0.248243	0.002064	1.778569	0.000000	0.002064	1.742855	0.000000	0.002064	1.707141	0.000000	0.002064	1.564871	0.000000	0.002064	1.671427	0.000000	0.002064	1.897616	0.011905	0.002064	1.861902	0.011905	0.002064	1.658744	0.005952	0.004784	1.888700	0.815839	0.002064	1.826188	0.011905	0.020672	3.925928	0.309611	0.020672	1.484636	0.248243	0.020672	1.432678	0.244623	0.002064	1.873806	0.011905	0.020672	1.461140	0.250262	0.008992	1.872508	0.182540	0.002408	1.437404	0.178571	0.002064	1.921425	0.023809	0.002064	1.742855	0.000000	0.006816	1.517906	0.161802	0.020672	1.421667	0.242743	0.003352	1.585361	0.057377	0.020672	1.476346	0.268119	0.020672	1.516760	0.344247	0.011168	4.316466	0.214286	0.012656	1.489198	0.272736	0.002064	2.278568	0.464285	0.020672	1.512060	0.268119	0.002064	1.784521	0.005952	0.018496	1.595679	0.253599	0.002064	1.576776	0.011905	0.020672	1.436101	0.254961	0.002064	2.016662	0.029762	0.002064	2.064282	0.041667	0.020672	1.427474	0.241803	0.020672	1.456441	0.285976	0.011168	1.481978	0.206169	0.002064	1.287648	0.023809	0.012656	1.459436	0.222141	0.002064	1.784521	0.011905	0.021216	1.579156	0.519095	0.002064	1.742855	0.000000	0.002064	1.707141	0.000000	0.020672	1.413881	0.241803	0.003352	1.585361	0.057377	0.006816	1.642905	0.187312	0.002064	1.951187	0.023809	0.020672	1.422943	0.241803	0.002064	1.915473	0.023809	0.002064	1.879759	0.023809	0.006816	1.438700	0.196052	0.002064	1.838092	0.017857	1.689846	0.0085290.143451
3400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.020672	1.427273	0.239924	0.010280	1.511680	0.227283	0.002064	1.264521	0.059523	0.002064	1.867854	0.023809	0.002064	1.903568	0.023809	0.020672	1.423694	0.241803	0.002064	1.597663	0.000000	0.010080	1.401799	0.208665	0.002064	1.730950	0.011905	0.002064	1.695236	0.011905	0.016120	1.468990	0.232982	0.002064	1.570823	0.011905	0.016120	1.432085	0.230601	0.013200	1.475949	0.229789	0.002064	1.802378	0.011905	0.002064	1.670648	0.047619	0.002064	1.179631	0.000000	0.002064	1.766664	0.011905	0.005328	4.233885	0.121585	0.018296	1.451285	0.243990	0.008992	1.398538	0.198120	0.016120	1.682085	0.257982	0.007160	1.426983	0.173458	0.002064	1.833315	0.101190	0.006272	1.416835	0.162088	0.002064	1.820235	0.035714	0.002064	1.683332	0.011905	0.008448	1.484731	0.282408	0.021216	1.466585	0.268961	0.021216	1.430859	0.268961	0.013000	1.486265	0.296932	0.021216	1.611032	0.514517	0.009192	4.349610	0.184231	0.020672	1.428985	0.241803	0.002064	2.242854	0.958332	0.004240	1.521439	0.128571	0.002064	1.730950	0.023809	0.020672	1.439926	0.271878	0.002064	1.594633	0.011905	0.020672	1.599196	0.258721	0.002064	1.873806	0.029762	0.002064	1.909520	0.029762	0.021216	1.444366	0.257191	0.021216	1.466585	0.265298	0.002064	1.590932	0.023809	0.014288	1.473670	0.223350	0.020672	1.428985	0.241803	0.016120	1.436847	0.232982	0.020672	1.496062	0.394059	0.002064	1.695236	0.005952	0.013200	1.448806	0.218361	0.018840	1.432328	0.240515	0.021216	1.429943	0.267129	0.017752	1.453136	0.240100	0.002064	1.838092	0.029762	0.017552	1.469024	0.245050	0.002064	1.796426	0.017857	0.004440	1.595490	0.110187	0.002408	1.406959	0.025510	0.013200	1.491663	0.221218	1.608110	0.0096790.163904
4400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.020672	1.433413	0.247442	0.002408	1.295301	0.015306	0.015576	1.414629	0.229589	0.005528	1.662644	0.142418	0.002064	1.873806	0.029762	0.010624	1.420447	0.223263	0.002064	1.609568	0.011905	0.002064	1.310787	0.000000	0.002064	1.719046	0.011905	0.002064	1.683332	0.011905	0.021216	1.456325	0.240572	0.007160	1.397659	0.163934	0.018840	1.428345	0.240515	0.020672	1.425980	0.241803	0.005528	1.623954	0.136466	0.002408	1.651941	0.010204	0.017208	1.476289	0.238675	0.002064	1.754760	0.011905	0.002064	4.129865	0.000000	0.002408	1.419355	0.020408	0.002408	1.298403	0.020408	0.014832	1.667086	0.217004	0.002064	1.211644	0.029762	0.002064	1.482124	0.029762	0.020672	1.445885	0.239924	0.014288	1.475835	0.223350	0.002064	1.689284	0.023809	0.002408	1.392743	0.000000	0.020672	1.463836	0.240863	0.018840	1.430455	0.240515	0.002064	1.310787	0.000000	0.020672	1.521335	0.366803	0.012456	4.312217	0.210236	0.020672	1.438884	0.247442	0.002064	1.760712	0.023809	0.002064	1.459788	0.023809	0.002064	1.724998	0.023809	0.020672	1.430088	0.239924	0.002064	1.582728	0.017857	0.004240	1.677183	0.095902	0.002064	1.778569	0.011905	0.011368	1.489796	0.207553	0.020672	1.461185	0.248382	0.011912	1.495525	0.231137	0.002064	1.614741	0.023809	0.020672	1.495779	0.251202	0.020672	1.433244	0.241803	0.013544	1.405470	0.221537	0.020672	1.611224	0.543495	0.002064	1.677379	0.011905	0.020672	1.423161	0.241803	0.007904	1.366115	0.173156	0.013000	1.445536	0.218361	0.017752	1.451564	0.238397	0.017208	1.439067	0.232930	0.002064	1.646072	0.023809	0.002064	1.724998	0.017857	0.020672	1.424606	0.238044	0.002064	1.388252	0.023809	0.020672	1.459815	0.239924	1.551541	0.0097390.135222
5400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.015920	1.468618	0.230777	0.002064	1.329314	0.035714	0.003152	1.376061	0.080357	0.020672	1.510702	0.239924	0.002408	1.793875	0.010204	0.002064	1.265324	0.011905	0.002064	1.603615	0.011905	0.002408	1.387318	0.142857	0.002408	1.707141	0.000000	0.002408	1.671427	0.000000	0.017752	1.424140	0.237776	0.002064	1.269791	0.000000	0.002064	1.212423	0.000000	0.021216	1.461886	0.246982	0.017752	1.474178	0.235150	0.002064	1.658744	0.011905	0.020672	1.533270	0.377280	0.002408	1.753059	0.005102	0.007360	4.278812	0.147619	0.017952	1.422088	0.243347	0.015032	1.429009	0.235781	0.017752	1.470798	0.232986	0.002608	1.223549	0.020408	0.002064	1.577362	0.154762	0.006072	1.558936	0.138534	0.020672	1.448167	0.245563	0.002408	1.671427	0.000000	0.002064	1.404648	0.011905	0.020672	1.435202	0.239924	0.002064	1.234771	0.005952	0.002408	1.315889	0.010204	0.008448	1.578845	0.516806	0.002408	4.211833	0.000000	0.020672	1.437504	0.245563	0.011168	1.475160	0.209176	0.020672	1.425356	0.238044	0.003152	1.678452	0.042081	0.020672	1.453145	0.237104	0.002408	1.564871	0.000000	0.002064	1.603627	0.011905	0.002408	1.758161	0.025510	0.020672	1.422020	0.241803	0.009536	1.414676	0.209448	0.002608	1.482759	0.030612	0.020128	1.599267	0.477514	0.020672	1.457746	0.241803	0.020672	1.449722	0.296315	0.002064	1.248916	0.023809	0.020472	1.686913	0.615863	0.002408	1.681631	0.010204	0.021216	1.427087	0.243319	0.020672	1.424683	0.241803	0.002064	1.482915	0.000000	0.020672	1.416561	0.243683	0.020672	1.447059	0.244623	0.002064	1.634168	0.023809	0.011912	1.456354	0.220268	0.014832	1.461961	0.263299	0.002064	1.394204	0.029762	0.021216	1.463717	0.244235	1.525982	0.0098610.145051
6400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002064	1.642372	0.011905	0.002064	1.412648	0.160714	0.007704	1.405775	0.181755	0.017008	1.475284	0.244255	0.003352	1.750539	0.146662	0.010824	1.769480	0.225940	0.002408	1.597663	0.000000	0.002064	1.400073	0.166667	0.003352	1.674647	0.124341	0.002064	1.754760	0.083333	0.002408	1.220627	0.000000	0.002064	1.359077	0.166667	0.014832	1.423491	0.258197	0.005528	1.509708	0.147541	0.017008	1.440502	0.269925	0.002064	1.670648	0.017857	0.020672	1.506515	0.394059	0.002064	1.826188	0.083333	0.020672	4.312387	0.242743	0.014832	1.557307	0.232498	0.007704	1.481090	0.175059	0.020672	1.506265	0.243683	0.017752	1.453611	0.234068	0.002408	1.478723	0.020408	0.020672	1.450547	0.243683	0.006072	1.454227	0.167582	0.002064	1.683332	0.011905	0.002064	1.404648	0.023809	0.020672	1.454499	0.238984	0.011368	1.401085	0.201299	0.002064	1.310787	0.000000	0.020672	1.660412	0.656415	0.002064	4.211833	0.000000	0.020672	1.440824	0.239924	0.002064	1.558140	0.023809	0.017752	1.445685	0.243347	0.014832	1.412690	0.222482	0.020672	1.470563	0.243683	0.002064	1.570823	0.011905	0.005528	1.490679	0.127537	0.003352	1.630004	0.084162	0.020672	1.455415	0.250262	0.002064	1.274989	0.035714	0.020672	1.432702	0.244623	0.020672	1.583501	0.378882	0.020672	1.492081	0.248382	0.020672	1.449283	0.241803	0.002064	1.242963	0.011905	0.015032	1.966693	1.051208	0.002064	1.677379	0.011905	0.019928	1.428286	0.244066	0.014832	1.427413	0.225033	0.002064	1.482915	0.000000	0.008248	1.395724	0.182463	0.020672	1.456958	0.243683	0.004984	1.585271	0.124760	0.008992	1.480500	0.183385	0.020672	1.419364	0.239924	0.004984	1.423771	0.134501	0.020672	1.459691	0.244623	1.545404	0.0101430.175311
7400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002408	1.645773	0.010204	0.014288	1.448538	0.216736	0.002064	1.420169	0.178571	0.002064	1.482136	0.011905	0.015376	1.473517	0.225713	0.008992	1.492690	0.187354	0.011912	1.440043	0.214057	0.002064	1.316739	0.011905	0.021216	1.420786	0.238741	0.002064	1.760713	0.160714	0.003352	1.326526	0.125000	0.002064	1.269791	0.000000	0.020672	1.420370	0.241803	0.002408	1.644683	0.005102	0.015576	1.433758	0.228357	0.020128	1.423996	0.235236	0.017752	1.510593	0.409392	0.002064	1.808331	0.172619	0.020672	4.326045	0.232405	0.018840	1.825727	0.240515	0.007360	1.719924	0.173809	0.021216	1.698282	0.243455	0.018296	1.449038	0.239789	0.002064	1.499981	0.053571	0.020672	1.482063	0.241803	0.002408	1.452889	0.061224	0.007360	1.548945	0.168696	0.014288	3.874398	0.302910	0.020672	1.461579	0.241803	0.006072	1.436894	0.153846	0.002064	1.400073	0.178571	0.015376	1.670598	0.414318	0.009736	4.303662	0.201929	0.013000	1.430480	0.222646	0.007360	2.101134	0.380952	0.006072	1.437487	0.170330	0.020672	1.592350	0.244761	0.014632	1.571161	0.247993	0.012656	1.442166	0.214700	0.020672	1.444469	0.241803	0.021216	1.418954	0.244235	0.020672	1.431479	0.242743	0.002408	1.280941	0.051020	0.020672	1.434143	0.243683	0.015920	1.445712	0.237920	0.020672	1.467205	0.242743	0.020672	1.429107	0.246502	0.002408	1.247215	0.020408	0.020672	1.606483	0.502280	0.002064	1.677379	0.005952	0.002064	1.458339	0.000000	0.020672	1.421321	0.243683	0.002408	1.482915	0.000000	0.002064	1.248149	0.041666	0.020672	1.473436	0.245563	0.020672	1.507775	0.243683	0.011168	1.452891	0.210799	0.020672	1.437722	0.245563	0.020672	1.461107	0.239924	0.020672	1.425417	0.239924	1.576068	0.0118990.185380
8400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.017952	1.469161	0.242105	0.017008	3.499213	0.343420	0.016664	1.487864	0.233210	0.002064	1.577374	0.101190	0.005528	1.539408	0.230435	0.020672	1.810821	0.238183	0.002808	1.716018	0.346939	0.002064	1.400073	0.166667	0.020672	4.087882	0.292694	0.002064	1.754760	0.083333	0.008248	1.419279	0.232883	0.002408	1.346322	0.142857	0.020672	1.435908	0.256040	0.002064	1.631928	0.011905	0.010624	1.730665	0.230568	0.020672	1.448619	0.243683	0.020672	1.431557	0.243683	0.006072	1.497900	0.197397	0.014632	4.315942	0.227584	0.002064	1.576812	0.017857	0.020672	1.814400	0.243683	0.011368	1.486848	0.235150	0.002408	1.759694	0.224490	0.002064	1.666648	0.255952	0.020672	1.484443	0.242743	0.017952	1.853581	0.244429	0.020672	1.495865	0.239924	0.020672	4.318916	0.243683	0.008992	1.418323	0.232989	0.002408	1.685164	0.142857	0.016664	1.464695	0.232058	0.002408	1.362754	0.142857	0.020672	4.312604	0.236164	0.010824	1.411988	0.249024	0.021216	1.461819	0.241488	0.002408	1.713776	0.219388	0.020672	1.807136	0.240863	0.015032	1.440896	0.231955	0.021016	1.426105	0.241488	0.020672	1.421473	0.239924	0.020672	1.455366	0.240863	0.020672	1.429160	0.245563	0.002064	1.286893	0.053571	0.020672	1.422425	0.238044	0.002064	1.481370	0.041666	0.020672	1.466766	0.243683	0.021216	1.425226	0.239657	0.002064	1.237011	0.000000	0.020672	1.682172	0.624460	0.008448	1.521751	0.176161	0.002064	1.464291	0.011905	0.020672	1.422762	0.241803	0.006816	1.459496	0.159251	0.004440	1.311498	0.110714	0.020672	1.435403	0.238984	0.020672	1.496058	0.245563	0.002064	1.278677	0.011905	0.007160	1.477312	0.176190	0.020672	1.436232	0.246502	0.014832	1.430267	0.230135	1.671045	0.0121670.200651
9400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.020672	1.819263	0.251063	0.002064	4.503991	0.000000	0.020672	1.455698	0.246502	0.002064	1.559517	0.107143	0.002408	1.353100	0.301020	0.020672	1.801923	0.238044	0.013544	1.494039	0.259998	0.002408	1.392420	0.142857	0.020472	4.306427	0.242743	0.008992	1.513121	0.236664	0.009192	1.718972	0.249414	0.002064	1.359077	0.089286	0.020672	1.438288	0.268119	0.002064	1.643833	0.005952	0.002064	1.620610	0.172619	0.017008	1.415903	0.234210	0.017752	1.875929	0.427170	0.017208	1.424432	0.228630	0.017952	4.348079	0.241945	0.002408	1.585315	0.015306	0.018296	1.790724	0.242940	0.021216	1.428943	0.239657	0.002064	1.581973	0.029762	0.002064	1.488077	0.023809	0.020672	1.489643	0.244623	0.020672	1.657261	0.263420	0.009536	1.492589	0.200049	0.020672	4.323176	0.235363	0.020672	1.439757	0.242882	0.002064	1.615436	0.166667	0.020672	1.448446	0.242743	0.002064	1.369556	0.166667	0.011712	4.345921	0.205631	0.017552	1.470546	0.238556	0.020672	1.526691	0.366803	0.015032	1.433668	0.230679	0.017552	1.655820	0.254631	0.014832	1.470175	0.233230	0.002608	1.556853	0.053948	0.020672	1.435132	0.239924	0.020672	1.457746	0.241803	0.020672	1.441879	0.237104	0.016120	1.477313	0.234348	0.020672	1.606196	0.239924	0.002408	1.556200	0.153061	0.008992	1.424954	0.189338	0.011368	1.442981	0.251384	0.010280	1.404928	0.207143	0.020672	1.685492	0.678972	0.020672	1.438165	0.244623	0.014288	1.429414	0.224673	0.020672	1.425142	0.241803	0.013000	1.441280	0.220000	0.020672	1.435538	0.246502	0.017752	3.183316	0.349407	0.020672	1.498438	0.238044	0.002064	1.284630	0.047619	0.002064	1.627449	0.035714	0.020672	1.595567	0.541615	0.020672	1.420176	0.241803	1.724631	0.0130440.212025
10400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.020672	1.852659	0.239924	0.002064	4.503991	0.000000	0.020672	1.451499	0.265300	0.003152	1.527853	0.167081	0.002064	1.292726	0.184524	0.020672	1.452800	0.266239	0.002064	1.400755	0.172619	0.009192	1.450165	0.255952	0.002064	4.211845	0.000000	0.020672	1.437981	0.241803	0.020672	1.815053	0.241803	0.002064	1.353124	0.166667	0.006616	1.503435	0.230679	0.002064	1.631928	0.023809	0.002064	1.513467	0.011905	0.002064	1.554451	0.011905	0.002408	1.630826	0.423469	0.020672	1.449341	0.266239	0.020672	4.322412	0.243683	0.011368	1.420136	0.206621	0.014288	1.470015	0.252645	0.020672	1.504828	0.289874	0.006816	1.483725	0.164353	0.003152	1.465341	0.051010	0.021216	1.482122	0.267399	0.020672	1.430318	0.242743	0.002064	1.494820	0.011905	0.004784	4.355130	0.115499	0.015920	1.410112	0.234348	0.002064	1.627341	0.107143	0.020672	1.432969	0.254160	0.012656	1.410542	0.217896	0.002064	4.457749	0.000000	0.002808	1.863262	0.109317	0.017752	1.539345	0.430115	0.020672	1.444497	0.261679	0.002064	1.193799	0.011905	0.008792	1.478402	0.179417	0.002064	1.648216	0.011905	0.021216	1.444577	0.263736	0.005328	1.393836	0.124561	0.020672	1.448958	0.240725	0.015376	1.481587	0.231870	0.017008	1.441702	0.235326	0.002064	1.469465	0.035714	0.020672	1.431787	0.249322	0.008248	1.480098	0.245488	0.002952	1.580984	0.051669	0.020672	1.626782	0.488044	0.020672	1.431147	0.241803	0.020672	1.422109	0.241803	0.020672	1.441620	0.243683	0.002064	1.638659	0.000000	0.020672	1.428520	0.241803	0.011912	4.293070	0.213395	0.020672	1.515856	0.245563	0.002064	1.260820	0.029762	0.002408	1.618095	0.030612	0.020672	1.707910	0.367882	0.017552	1.441650	0.236232	1.725294	0.0111190.178912
